timestamp,txn_id,name,account_number,account_type,mobile_number,pincode,narration,trans_type,amount,ip_address,device,receiver_account,is_fraud,fraud_type,account_age_days,receiver_name,receiver_pincode,velocity_l6h,churn_rate,ip_account_density,amount_deviation_ratio,daily_limit_fraction,user_risk_score,device_trust_score,is_rooted_or_emulator,device_risk_score,merchant_chargeback_rate,merchant_risk_score,is_vpn_or_proxy,network_risk_score,risk_score,bank_name,receiver_bank
2025-07-01 15:20:38,SB3000495,Deepa Krishnan,SB6200630,Savings,9566163810,641001,Purchase,IMPS,1517.46,199.43.199.225,Oppo A78,SB12127354,0,Normal,290,Deepa Krishnan,641001,1,0.128,1,0.15,0.002,12.8,70,0,18.9,0.039,6.2,0,17.0,18.0,State Bank of India,State Bank of India
2025-07-01 11:06:41,SB3000138,Sanjay,SB00009100,Salary,9786579303,560001,Layered Transfer,UPI,44794.35,130.247.90.178,iPhone 14,YS00056296,1,Mule Chain,3,Mukesh Joshi,302001,20,0.43,7,1.42,0.926,70.4,50,1,73.9,0.203,70.3,0,64.8,89.5,State Bank of India,YES Bank
2025-07-01 10:40:36,SB3000111,Sakthi Prakash,SB00009199,Current,9797801251,600001,Layered Transfer,UPI,44532.52,103.42.240.225,iPhone 14,SB41222178,1,Mule Chain,7,Rakesh Agarwal,380001,13,0.522,9,1.41,0.859,60.9,50,0,89.6,0.358,93.6,1,84.7,90.9,State Bank of India,State Bank of India
2025-07-01 10:49:27,SB3000120,Yogesh Nair,SB00009834,Current,9133729406,462001,Layered Transfer,NEFT,44228.82,151.121.142.172,Xiaomi Redmi Note 13,YS00071678,1,Mule Chain,7,Ramesh Babu,530001,8,0.318,9,1.01,0.892,74.7,40,0,64.7,0.392,75.5,1,69.4,85.0,State Bank of India,YES Bank
2025-07-01 14:45:10,SB3000441,Arjun Sharma,SB3629445,Salary,9460065542,462001,Purchase,NEFT,2278.25,208.37.161.229,Samsung Galaxy A54,SB68166960,0,Normal,201,Deepa Krishnan,462001,1,0.268,1,0.38,0.125,8.7,90,0,12.5,0.047,18.5,0,9.0,7.3,State Bank of India,State Bank of India
2025-07-01 11:56:39,SB3000194,Amit Khanna,AX00035760,Salary,9242224154,641001,Layered Transfer,UPI,47290.44,82.189.145.41,Xiaomi Mi 11X,SB00009199,1,Mule Chain,6,Sakthi Prakash,600001,22,0.258,5,1.23,0.858,75.7,50,1,89.0,0.236,85.3,0,66.3,89.1,Axis Bank,State Bank of India
2025-07-01 10:54:41,SB3000125,Ramesh Babu,YS00071678,Current,9242068763,530001,Layered Transfer,RTGS,49885.07,141.124.242.207,MacBook Pro,SB00009199,1,Mule Chain,11,Sakthi Prakash,600001,14,0.32,8,0.96,0.93,86.4,60,1,89.6,0.352,90.7,0,70.3,86.3,YES Bank,State Bank of India
2025-07-01 15:00:09,SB3000464,Arjun Sharma,SB3373320,Current,9592539893,226001,Purchase,NEFT,843.4,20.75.102.227,iPhone 13,SB50437430,0,Normal,307,Arjun Sharma,226001,1,0.147,1,0.23,0.145,7.3,90,0,21.9,0.022,14.5,0,10.2,12.1,State Bank of India,State Bank of India
2025-07-01 09:16:52,SB3000015,Sandeep Jain,YS00037463,Current,9969119330,400001,Layered Transfer,NEFT,44268.54,212.251.52.224,iPhone 13,SB00009199,1,Mule Chain,6,Sakthi Prakash,600001,23,0.368,5,0.93,0.858,92.6,70,0,88.8,0.22,62.6,0,65.3,94.5,YES Bank,State Bank of India
2025-07-01 09:49:32,SB3000054,Umesh Chandra,SB00053581,Salary,9387484583,560001,Layered Transfer,NEFT,46032.64,53.221.28.213,OnePlus 12,YS00085259,1,Mule Chain,4,Kailash Borah,500001,17,0.258,5,1.45,0.884,92.9,60,0,68.8,0.291,79.3,0,81.9,89.7,State Bank of India,YES Bank
