timestamp,txn_id,name,account_number,account_type,mobile_number,pincode,narration,trans_type,amount,ip_address,device,receiver_account,is_fraud,fraud_type,account_age_days,receiver_name,receiver_pincode,velocity_l6h,churn_rate,ip_account_density,amount_deviation_ratio,daily_limit_fraction,user_risk_score,device_trust_score,is_rooted_or_emulator,device_risk_score,merchant_chargeback_rate,merchant_risk_score,is_vpn_or_proxy,network_risk_score,risk_score
2025-06-01 09:00:00,2987000,Priya Nair,SB00013926,Current,9533778040,110001,Purchase Category W,Online Transfer,68.5,103.69.212.214,Unknown Device,COLL25,0,Normal,188.0,Priya Sharma,110001,2.0,0.274,1,0.46,0.0,12.6,70.0,0,20.0,0.005,16.6,0,5.8,13.8
2025-06-01 09:00:01,2987001,Arjun Sharma,SB00002755,Savings,9464771445,600040,Purchase Category W,Online Transfer,29.0,103.207.74.215,Unknown Device,COLL52,0,Normal,352.0,Karan Malhotra,600040,2.0,0.191,1,0.19,0.0,8.1,70.0,0,20.0,0.005,8.5,0,17.6,13.6
2025-06-01 09:01:09,2987002,Anitha Reddy,SB00004663,Savings,9748969263,560001,Purchase Category W,Online Transfer,59.0,103.42.242.216,Unknown Device,COLL15,0,Normal,454.0,Karan Malhotra,560001,1.0,0.373,2,0.4,0.0,16.3,70.0,0,20.0,0.005,13.7,0,15.9,16.5
2025-06-01 09:01:39,2987003,Rekha Singh,SB00018132,Current,9490946572,110001,Purchase Category W,Online Transfer,50.0,103.187.83.217,Unknown Device,COLL58,0,Normal,50.0,Karan Malhotra,110001,2.0,0.271,2,0.34,0.0,12.5,70.0,0,20.0,0.005,7.0,0,15.2,13.7
2025-06-01 09:01:46,2987004,Vijay Kumar,SB00004497,Salary,9597826859,560001,Purchase Category H,Net Banking,50.0,103.56.69.218,SAMSUNG SM-G892A Build/NRD90M,COLL72,0,Normal,156.0,Priya Sharma,560001,1.0,0.134,2,0.34,0.0,16.3,90.0,0,10.0,0.005,8.2,0,10.5,11.2
2025-06-01 09:01:50,2987005,Balaji Natarajan,SB00005937,Current,9749660326,110001,Purchase Category W,Online Transfer,49.0,103.253.28.219,Unknown Device,COLL78,0,Normal,246.0,Karan Malhotra,110001,2.0,0.107,2,0.33,0.0,14.5,70.0,0,20.0,0.005,11.3,0,8.4,13.5
2025-06-01 09:02:02,2987006,Deepa Krishnan,SB00012308,Savings,9140872398,602117,Purchase Category W,Online Transfer,159.0,103.183.109.220,Unknown Device,COLL53,0,Normal,53.0,Karan Malhotra,602117,1.0,0.2,1,1.07,0.001,23.6,70.0,0,20.0,0.005,9.2,0,23.8,19.1
2025-06-01 09:02:09,2987007,Balaji Natarajan,SB00012695,Savings,9246780676,560001,Purchase Category W,Online Transfer,422.5,103.74.100.221,Unknown Device,COLL48,0,Normal,228.0,Karan Malhotra,560001,3.0,0.292,1,2.84,0.003,53.5,70.0,0,20.0,0.005,12.0,0,15.3,25.2
2025-06-01 09:02:15,2987008,Lakshmi Iyer,SB00002803,Savings,9655042104,560001,Purchase Category H,Net Banking,15.0,103.13.181.222,iOS Device,COLL78,0,Normal,183.0,Anjali Gupta,560001,2.0,0.126,1,0.1,0.0,15.1,90.0,0,10.0,0.005,13.9,0,17.5,14.1
2025-06-01 09:02:16,2987009,Rahul Gupta,SB00017399,Current,9872403367,110001,Purchase Category W,Online Transfer,117.0,103.99.180.223,Unknown Device,COLL55,0,Normal,418.0,Priya Sharma,110001,3.0,0.247,1,0.79,0.001,18.7,70.0,0,20.0,0.005,16.2,0,22.9,19.5
